Booking_ID,no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,type_of_meal_plan,required_car_parking_space,room_type_reserved,lead_time,arrival_year,arrival_month,arrival_date,market_segment_type,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,avg_price_per_room,no_of_special_requests,booking_status
INN27116,2,1,2,2,Meal Plan 1,0,Room_Type 1,107,2018,5,22,Online,0,0,0,135.15,2,Not_Canceled
INN27117,3,0,2,0,Meal Plan 1,0,Room_Type 4,52,2018,7,31,Online,0,0,0,186.3,1,Not_Canceled
INN27118,2,0,2,2,Meal Plan 1,0,Room_Type 1,3,2017,8,14,Online,0,0,0,146,1,Not_Canceled
INN27119,2,0,0,2,Not Selected,0,Room_Type 1,94,2018,4,13,Online,0,0,0,85.5,1,Not_Canceled
INN27120,2,0,1,1,Meal Plan 1,0,Room_Type 4,20,2018,2,27,Online,0,0,0,113,0,Not_Canceled
INN27121,2,0,1,2,Meal Plan 1,0,Room_Type 1,304,2018,10,21,Online,0,0,0,74.15,0,Canceled
INN27122,3,0,2,1,Meal Plan 2,0,Room_Type 1,3,2017,7,11,Offline,0,0,0,138.5,0,Not_Canceled
INN27123,2,0,1,2,Meal Plan 1,0,Room_Type 1,28,2018,6,20,Offline,0,0,0,85.5,0,Not_Canceled
INN27124,1,0,0,1,Meal Plan 2,0,Room_Type 4,55,2018,4,6,Offline,0,0,0,92,0,Not_Canceled
INN27125,2,0,0,2,Meal Plan 1,1,Room_Type 1,30,2018,8,5,Online,0,0,0,144.9,1,Not_Canceled
INN27126,1,0,2,2,Meal Plan 1,0,Room_Type 1,56,2017,9,25,Offline,0,0,0,185,0,Not_Canceled
INN27127,2,0,1,2,Meal Plan 1,0,Room_Type 1,86,2018,5,20,Offline,0,0,0,65,1,Not_Canceled
INN27128,2,2,2,2,Meal Plan 1,0,Room_Type 6,21,2017,12,27,Online,0,0,0,187,1,Not_Canceled
INN27129,2,0,0,1,Meal Plan 1,0,Room_Type 1,14,2018,5,27,Offline,0,0,0,73,0,Not_Canceled
INN27130,2,0,2,1,Meal Plan 1,0,Room_Type 4,35,2018,4,30,Online,0,0,0,140.4,1,Not_Canceled
INN27131,1,0,6,12,Meal Plan 1,0,Room_Type 1,1,2018,11,18,Online,0,0,0,77.44,1,Canceled
INN27132,2,0,0,2,Meal Plan 1,0,Room_Type 1,3,2018,4,13,Online,0,0,0,116,1,Not_Canceled
INN27133,2,1,2,2,Meal Plan 1,0,Room_Type 1,170,2018,7,30,Online,0,0,0,114.75,1,Canceled
INN27134,2,0,1,1,Meal Plan 1,0,Room_Type 1,159,2018,4,9,Offline,0,0,0,70,1,Not_Canceled
INN27135,2,0,0,2,Meal Plan 2,0,Room_Type 1,291,2018,8,19,Offline,0,0,0,115,0,Canceled
INN27136,2,0,0,2,Not Selected,1,Room_Type 1,221,2018,8,18,Online,0,0,0,94.5,3,Not_Canceled
INN27137,2,0,2,1,Meal Plan 1,0,Room_Type 1,45,2018,12,25,Online,0,0,0,93.6,1,Not_Canceled
INN27138,2,0,0,2,Meal Plan 2,0,Room_Type 1,39,2017,8,14,Offline,0,0,0,101.5,0,Not_Canceled
INN27139,2,0,1,4,Not Selected,0,Room_Type 1,79,2018,3,28,Online,0,0,0,72.25,0,Canceled
INN27140,1,0,1,0,Not Selected,0,Room_Type 1,56,2018,12,12,Online,0,0,0,79.2,2,Not_Canceled
INN27141,2,1,0,3,Meal Plan 1,0,Room_Type 1,27,2018,10,20,Offline,0,0,0,85,1,Not_Canceled
INN27142,2,0,2,2,Meal Plan 1,0,Room_Type 1,6,2017,12,6,Offline,0,0,0,58,0,Not_Canceled
INN27143,1,0,0,2,Not Selected,0,Room_Type 1,6,2018,3,10,Online,0,0,0,93,0,Canceled
INN27144,2,0,3,8,Meal Plan 1,0,Room_Type 1,7,2017,9,28,Online,0,0,0,155.45,2,Not_Canceled
INN27145,2,0,2,5,Meal Plan 1,0,Room_Type 1,3,2017,9,10,Online,0,0,0,137.29,2,Not_Canceled
INN27146,2,1,2,4,Meal Plan 1,0,Room_Type 1,260,2018,10,2,Online,0,0,0,95.13,1,Not_Canceled
INN27147,2,0,1,0,Not Selected,0,Room_Type 1,2,2018,8,7,Online,0,0,0,98,2,Not_Canceled
INN27148,1,0,0,1,Meal Plan 1,0,Room_Type 1,1,2017,11,4,Corporate,1,0,2,65,0,Not_Canceled
INN27149,1,0,0,2,Meal Plan 1,0,Room_Type 1,181,2018,10,11,Offline,0,0,0,120,0,Canceled
INN27150,2,0,0,3,Meal Plan 1,0,Room_Type 1,3,2018,2,9,Online,0,0,0,100,1,Canceled
INN27151,2,1,2,3,Meal Plan 2,0,Room_Type 1,159,2018,10,1,Online,0,0,0,143.55,1,Canceled
INN27152,2,0,0,1,Meal Plan 1,0,Room_Type 1,37,2017,10,23,Offline,0,0,0,76.5,0,Not_Canceled
INN27153,2,0,1,1,Not Selected,0,Room_Type 1,72,2018,5,7,Online,0,0,0,116.1,1,Not_Canceled
INN27154,2,2,2,2,Meal Plan 1,0,Room_Type 7,168,2018,11,25,Online,0,0,0,205,0,Canceled
INN27155,3,0,0,2,Meal Plan 1,0,Room_Type 4,161,2018,8,16,Online,0,0,0,82.35,2,Not_Canceled
INN27156,2,1,0,2,Meal Plan 2,0,Room_Type 1,2,2018,2,5,Online,0,0,0,159.5,2,Not_Canceled
INN27157,1,0,2,2,Meal Plan 1,0,Room_Type 1,115,2018,2,27,Offline,0,0,0,76,0,Not_Canceled
INN27158,1,0,1,0,Meal Plan 1,0,Room_Type 1,7,2018,5,16,Online,0,0,0,97,0,Canceled
INN27159,2,0,0,1,Not Selected,0,Room_Type 1,38,2018,6,1,Online,0,0,0,89.1,1,Not_Canceled
INN27160,2,0,0,5,Meal Plan 1,0,Room_Type 4,162,2018,3,8,Offline,0,0,0,62,1,Not_Canceled
INN27161,1,0,0,1,Meal Plan 2,0,Room_Type 1,221,2018,8,12,Offline,0,0,0,73,0,Not_Canceled
INN27162,3,0,2,1,Meal Plan 1,0,Room_Type 1,42,2018,3,5,Offline,0,0,0,106.2,0,Canceled
INN27163,2,0,0,2,Meal Plan 2,0,Room_Type 1,102,2017,10,16,Offline,0,0,0,109,0,Not_Canceled
INN27164,2,0,1,0,Not Selected,0,Room_Type 1,1,2018,8,7,Online,0,0,0,98,0,Not_Canceled
INN27165,2,0,2,3,Meal Plan 1,0,Room_Type 1,8,2018,1,8,Online,0,0,0,59.16,0,Not_Canceled
INN27166,2,2,2,5,Meal Plan 1,0,Room_Type 5,190,2018,8,10,Online,0,0,0,117.51,2,Canceled
INN27167,2,0,1,2,Meal Plan 1,0,Room_Type 1,164,2018,10,24,Online,0,0,0,100.2,0,Canceled
INN27168,2,0,0,3,Meal Plan 1,0,Room_Type 1,183,2018,8,9,Offline,0,0,0,112,1,Canceled
INN27169,2,0,2,3,Meal Plan 1,0,Room_Type 1,276,2018,5,13,Offline,0,0,0,61,0,Canceled
INN27170,2,0,0,1,Meal Plan 1,0,Room_Type 1,1,2017,9,17,Corporate,0,0,0,135,0,Not_Canceled
INN27171,2,0,0,4,Not Selected,0,Room_Type 1,74,2018,8,9,Online,0,0,0,107.1,1,Not_Canceled
INN27172,1,0,1,0,Meal Plan 1,0,Room_Type 1,110,2018,10,9,Offline,0,0,0,120,0,Not_Canceled
INN27173,2,0,0,2,Not Selected,0,Room_Type 1,66,2018,8,16,Online,0,0,0,125.1,0,Canceled
INN27174,2,0,2,3,Meal Plan 1,0,Room_Type 1,359,2018,10,14,Offline,0,0,0,78,1,Not_Canceled
INN27175,2,0,2,1,Meal Plan 1,0,Room_Type 1,58,2018,4,24,Online,0,0,0,81.08,0,Not_Canceled
INN27176,2,0,1,0,Not Selected,0,Room_Type 1,18,2018,9,11,Online,0,0,0,89,2,Not_Canceled
INN27177,2,2,2,2,Meal Plan 1,0,Room_Type 6,14,2018,2,21,Online,0,0,0,147.9,1,Not_Canceled
INN27178,2,0,0,1,Meal Plan 2,0,Room_Type 1,55,2018,4,6,Offline,0,0,0,104,0,Not_Canceled
INN27179,2,0,0,4,Meal Plan 1,0,Room_Type 1,92,2017,10,7,Offline,0,0,0,70,0,Not_Canceled
INN27180,2,0,0,0,Not Selected,0,Room_Type 1,11,2018,1,22,Online,0,0,0,0,1,Not_Canceled
INN27181,1,0,0,1,Meal Plan 1,0,Room_Type 1,1,2018,4,1,Corporate,0,0,0,65,0,Not_Canceled
INN27182,2,2,0,3,Meal Plan 1,0,Room_Type 7,35,2018,8,17,Online,0,0,0,214.76,0,Canceled
INN27183,2,0,0,4,Meal Plan 1,0,Room_Type 1,270,2018,4,20,Offline,0,0,0,80,0,Not_Canceled
INN27184,1,0,0,1,Meal Plan 1,0,Room_Type 1,14,2018,11,16,Corporate,0,0,0,65,0,Not_Canceled
INN27185,1,0,1,0,Meal Plan 1,0,Room_Type 1,3,2018,10,10,Online,0,0,0,118.58,1,Not_Canceled
INN27186,1,0,0,3,Meal Plan 1,0,Room_Type 1,71,2018,6,14,Offline,0,0,0,120,0,Not_Canceled
INN27187,2,0,0,2,Meal Plan 1,0,Room_Type 1,298,2018,5,10,Offline,0,0,0,93,0,Not_Canceled
INN27188,2,0,1,3,Meal Plan 1,0,Room_Type 1,92,2018,4,25,Online,0,0,0,90.95,0,Canceled
INN27189,2,0,2,2,Meal Plan 1,0,Room_Type 1,12,2018,11,11,Online,0,0,0,86.4,3,Not_Canceled
INN27190,1,0,1,2,Meal Plan 1,0,Room_Type 1,280,2018,9,19,Offline,0,0,0,100,0,Canceled
INN27191,1,0,0,1,Meal Plan 1,0,Room_Type 1,10,2018,5,7,Online,0,0,0,141,0,Canceled
INN27192,2,0,2,2,Meal Plan 1,0,Room_Type 1,30,2018,5,15,Online,0,0,0,126.9,1,Canceled
INN27193,2,0,2,3,Meal Plan 1,0,Room_Type 4,80,2018,9,17,Online,0,0,0,149.4,2,Not_Canceled
INN27194,2,0,0,3,Meal Plan 1,0,Room_Type 4,43,2018,3,17,Online,0,0,0,106.8,0,Not_Canceled
INN27195,3,0,0,1,Meal Plan 1,0,Room_Type 1,7,2018,12,6,Online,0,0,0,18,1,Not_Canceled
INN27196,3,1,1,2,Meal Plan 1,0,Room_Type 1,91,2018,9,30,Offline,0,0,0,110,0,Not_Canceled
INN27197,2,0,0,2,Meal Plan 1,1,Room_Type 1,21,2018,9,23,Online,0,0,0,170,2,Not_Canceled
INN27198,2,0,1,1,Meal Plan 1,0,Room_Type 1,60,2017,10,12,Offline,0,0,0,65,1,Not_Canceled
INN27199,2,0,1,2,Meal Plan 2,0,Room_Type 1,418,2018,9,26,Offline,0,0,0,107,0,Canceled
INN27200,2,0,2,4,Meal Plan 1,0,Room_Type 1,129,2018,8,6,Online,0,0,0,114.3,0,Canceled
INN27201,2,1,0,3,Meal Plan 1,0,Room_Type 6,193,2018,12,29,Online,0,0,0,160.2,0,Not_Canceled
INN27202,2,0,0,2,Meal Plan 1,0,Room_Type 1,58,2018,3,4,Online,0,0,0,80.3,1,Not_Canceled
INN27203,1,0,2,2,Meal Plan 1,0,Room_Type 1,162,2018,10,14,Offline,0,0,0,115,0,Canceled
INN27204,2,1,1,4,Meal Plan 1,0,Room_Type 4,23,2018,4,18,Online,0,0,0,110.84,2,Not_Canceled
INN27205,2,0,0,3,Meal Plan 1,0,Room_Type 4,80,2018,10,6,Online,0,0,0,119.07,0,Canceled
INN27206,2,0,0,4,Meal Plan 1,0,Room_Type 4,67,2018,10,19,Online,0,0,0,117.6,0,Canceled
INN27207,1,0,0,2,Meal Plan 1,0,Room_Type 1,136,2018,8,26,Online,0,0,0,90.9,0,Not_Canceled
INN27208,1,0,0,2,Meal Plan 1,0,Room_Type 1,14,2017,10,15,Offline,0,0,0,100,0,Not_Canceled
INN27209,2,0,2,2,Meal Plan 1,0,Room_Type 1,7,2018,8,12,Online,0,0,0,174,1,Not_Canceled
INN27210,2,0,2,3,Meal Plan 1,0,Room_Type 1,151,2018,10,6,Online,0,0,0,91.48,2,Not_Canceled
INN27211,2,0,1,3,Meal Plan 1,0,Room_Type 1,94,2018,5,2,Offline,0,0,0,80.75,0,Not_Canceled
INN27212,1,0,0,2,Meal Plan 1,0,Room_Type 4,13,2018,9,27,Online,0,0,0,126.28,0,Not_Canceled
INN27213,2,0,0,2,Meal Plan 1,0,Room_Type 1,30,2018,6,2,Offline,0,0,0,140,0,Not_Canceled
INN27214,2,0,2,4,Not Selected,0,Room_Type 1,288,2018,12,25,Online,0,0,0,66.58,0,Canceled
INN27215,1,0,0,1,Not Selected,0,Room_Type 1,0,2018,4,5,Offline,0,0,0,84,0,Not_Canceled
INN27216,2,0,2,2,Meal Plan 1,0,Room_Type 1,1,2017,10,9,Online,0,0,0,145,2,Not_Canceled
INN27217,2,0,2,0,Not Selected,0,Room_Type 1,0,2018,8,7,Online,0,0,0,116,1,Not_Canceled
INN27218,1,0,0,1,Not Selected,0,Room_Type 1,12,2018,7,20,Online,0,0,0,89,0,Canceled
INN27219,2,0,1,3,Meal Plan 1,0,Room_Type 1,87,2018,3,24,Offline,0,0,0,68.5,0,Not_Canceled
